Name,Tm,R,HR,RBI,SB,OBP
Brayan Rocchio,Cleveland,36,6,45,8,0.289
Alan Roden,"Minnesota,Toronto",17,2,9,1,0.261
Brendan Rodgers,Houston,12,2,11,0,0.266
Endy Rodr\xc3\xadguez,Pittsburgh,5,0,2,0,0.246
Johnathan Rodr\xc3\xadguez,Cleveland,6,2,10,1,0.25
Julio Rodr\xc3\xadguez,Seattle,112,36,104,30,0.323
Jake Rogers,Detroit,15,3,19,0,0.282
Trevor Rogers,Baltimore,0,0,0,0,0.0
Johan Rojas,Philadelphia,23,1,18,12,0.28
Josh Rojas,Chicago,14,2,11,4,0.252
Miguel Rojas,Los Angeles,38,8,29,5,0.318
Drew Romo,Colorado,0,0,0,0,0.0
Brent Rooker,Athletics,92,30,89,6,0.335
Ben Rortvedt,"Los Angeles,Tampa Bay",11,1,11,0,0.256
Amed Rosario,"New York,Washington",22,6,24,1,0.308
Eddie Rosario,"Atlanta,Los Angeles",1,0,0,0,0.125
Esteury Ruiz,Los Angeles,2,1,2,4,0.261
Keibert Ruiz,Washington,19,2,25,0,0.277
Dalton Rushing,Los Angeles,15,4,24,0,0.256
Adley Rutschman,Baltimore,37,9,29,0,0.307
Blake Sabol,Boston,2,0,1,0,0.167
Thomas Saggese,St. Louis,25,2,25,3,0.299
C\xc3\xa9sar Salazar,Houston,0,0,1,0,0.375
Ali S\xc3\xa1nchez,"Boston,Toronto",2,0,0,0,0.217
Gary S\xc3\xa1nchez,Baltimore,13,5,24,0,0.297
Jes\xc3\xbas S\xc3\xa1nchez,"Houston,Miami",61,14,48,13,0.304
Javier Sanoja,Miami,40,6,38,6,0.287
Carlos Santana,"Chicago,Cleveland",49,11,54,7,0.308
Anthony Santander,Toronto,17,6,20,0,0.27
Nolan Schanuel,Los Angeles,64,12,53,5,0.353
Casey Schmitt,San Francisco,34,12,40,0,0.305
Daniel Schneemann,Cleveland,49,12,42,9,0.283
Davis Schneider,Toronto,37,12,32,3,0.359
Max Schuemann,Athletics,20,2,13,7,0.295
Aaron Schunk,Colorado,1,0,0,0,0.188
Kyle Schwarber,Philadelphia,113,58,135,10,0.363
Victor Scott II,St. Louis,54,5,37,34,0.305
Corey Seager,Texas,61,21,50,3,0.373
Anthony Seigler,Milwaukee,6,0,5,2,0.292
Marcus Semien,Texas,62,15,62,11,0.305
Hayden Senger,New York,8,0,4,0,0.221
Bob Seymour,Tampa Bay,9,1,5,1,0.253
Matt Shaw,Chicago,57,13,45,18,0.296
Gavin Sheets,San Diego,57,19,71,2,0.316
Zack Short,Houston,9,2,7,0,0.291
Michael Siani,St. Louis,4,0,0,0,0.316
Ronny Simon,"Miami,Pittsburgh",10,0,7,1,0.299
Chandler Simpson,Tampa Bay,53,0,26,44,0.326
Jon Singleton,Houston,0,0,0,0,0.111
Jose Siri,New York,7,0,1,2,0.167
Austin Slater,"Chicago,New York",22,5,13,1,0.27
Cam Smith,Houston,55,9,51,8,0.312
Dominic Smith,San Francisco,26,5,33,2,0.333
Josh Smith,Texas,70,10,35,12,0.335
Pavin Smith,Arizona,36,8,28,2,0.362
Will Smith,Los Angeles,72,19,69,2,0.398
Tyler Soderstrom,Athletics,75,25,93,8,0.346
Nick Sogard,Boston,14,0,9,2,0.318
Nick Solak,Pittsburgh,0,0,0,0,0.091
Donovan Solano,"Seattle,Texas",10,3,21,0,0.291
Jorge Soler,Los Angeles,31,12,34,0,0.293
Edmundo Sosa,Philadelphia,30,11,39,1,0.308
Lenyn Sosa,Chicago,57,22,75,2,0.293
Juan Soto,New York,120,43,105,38,0.396
George Springer,Toronto,120,36,94,18,0.393
Jacob Stallings,"Baltimore,Colorado",5,0,9,0,0.195
Giancarlo Stanton,New York,37,24,70,0,0.342
Spencer Steer,Cincinnati,66,21,76,7,0.314
Michael Stefanic,Toronto,1,0,0,0,0.28
Tyler Stephenson,Cincinnati,40,13,52,0,0.311
Chad Stevens,Los Angeles,1,0,0,0,0.154
Cal Stevenson,Philadelphia,0,0,1,0,0.25
Sal Stewart,Cincinnati,11,5,12,1,0.317
Trevor Story,Boston,93,26,99,32,0.309
Bryson Stott,Philadelphia,66,13,66,25,0.324
Kyle Stowers,Miami,61,25,73,5,0.368
Myles Straw,Toronto,53,4,33,12,0.303
CJ Stubbs,Washington,0,0,0,0,0.0
Garrett Stubbs,Philadelphia,2,0,0,0,0.0
Eugenio Su\xc3\xa1rez,"Arizona,Seattle",95,52,126,4,0.297
Brett Sullivan,Pittsburgh,1,0,2,0,0.333
Jack Suwinski,Pittsburgh,15,3,10,7,0.281
Seiya Suzuki,Chicago,79,35,108,5,0.322
Dansby Swanson,Chicago,85,24,78,20,0.297
Trey Sweeney,Detroit,36,6,32,3,0.258
Fernando Tatis Jr.,San Diego,113,25,71,33,0.364
Mike Tauchman,Chicago,44,9,40,0,0.356
Leody Taveras,"Seattle,Texas",13,3,17,9,0.226
Tim Tawa,Arizona,29,7,18,8,0.274
Chris Taylor,Los Angeles,15,2,12,2,0.256
Michael A. Taylor,Chicago,33,9,35,8,0.259
Samad Taylor,Seattle,1,0,0,0,0.125
Tyrone Taylor,New York,34,2,27,12,0.279
Kyle Teel,Chicago,38,8,35,3,0.375
Rowdy Tellez,"Seattle,Texas",34,17,49,1,0.276
Jos\xc3\xa9 Tena,Washington,19,0,16,3,0.314
Bryce Teodosio,Los Angeles,12,1,7,7,0.248
Matt Thaiss,"Chicago,Tampa Bay",16,1,16,1,0.349
Alek Thomas,Arizona,51,9,38,7,0.289
Colby Thomas,Athletics,20,6,19,2,0.267
Lane Thomas,Cleveland,10,4,11,4,0.246
Rhylan Thomas,Seattle,2,0,2,0,0.2
Michael Toglia,Colorado,22,11,32,3,0.258
Tyler Tolbert,Kansas City,19,1,6,20,0.321
Spencer Torkelson,Detroit,85,31,84,2,0.331
Abraham Toro,Boston,33,7,27,2,0.289
Luis Torrens,New York,20,5,29,1,0.284
Gleyber Torres,Detroit,81,17,75,4,0.356
Ezequiel Tovar,Colorado,44,9,33,5,0.294
Taylor Trammell,Houston,15,3,12,3,0.296
Alan Trejo,Colorado,3,0,1,0,0.19
Jose Trevino,Cincinnati,30,4,22,0,0.272
Jared Triolo,Pittsburgh,41,7,24,13,0.311
Chadwick Tromp,"Atlanta,Baltimore",2,1,1,0,0.182
Mike Trout,Los Angeles,73,26,64,2,0.359
Kyle Tucker,Chicago,96,23,74,25,0.377
Brice Turang,Milwaukee,99,19,84,24,0.349
Justin Turner,Chicago,14,3,18,2,0.29
Trea Turner,Philadelphia,95,15,72,38,0.354
Luis Ur\xc3\xadas,Athletics,27,8,25,2,0.315
Ram\xc3\xb3n Ur\xc3\xadas,"Baltimore,Houston",33,11,44,3,0.292
Gio Urshela,Athletics,10,0,20,0,0.287
Enmanuel Valdez,Pittsburgh,7,2,12,0,0.294
George Valera,Cleveland,9,3,6,0,0.327
Ildemaro Vargas,Arizona,12,3,19,0,0.292
Miguel Vargas,Chicago,80,16,60,6,0.316
Daulton Varsho,Toronto,55,23,65,2,0.284
Andrew Vaughn,"Chicago,Milwaukee",39,16,69,0,0.305
Terrin Vavra,Baltimore,0,0,0,0,0.0
Christian V\xc3\xa1zquez,Minnesota,14,3,14,1,0.271
Luis V\xc3\xa1zquez,Baltimore,6,1,3,2,0.208
Zac Veen,Colorado,1,1,2,1,0.189
Alex Verdugo,Atlanta,21,0,12,1,0.296
Mark Vientos,New York,44,17,61,1,0.289
Matt Vierling,Detroit,6,1,11,2,0.31
Ryan Vilade,"Cincinnati,St. Louis",1,0,0,0,0.2
David Villar,San Francisco,4,0,1,0,0.36
Jorbit Vivas,New York,6,1,5,0,0.266
Anthony Volpe,New York,67,20,74,18,0.268
LaMonte Wade Jr.,"Los Angeles,San Francisco",19,2,18,1,0.271
Tyler Wade,San Diego,13,0,9,1,0.309
Eric Wagaman,Miami,56,9,53,4,0.296
Will Wagner,"San Diego,Toronto",15,0,7,1,0.324
Christian Walker,Houston,72,27,88,2,0.297
Jordan Walker,St. Louis,40,6,41,10,0.278
Matt Wallner,Minnesota,47,22,40,4,0.311
Taylor Walls,Tampa Bay,36,4,38,14,0.28
Donovan Walton,Philadelphia,1,0,1,0,0.125
Taylor Ward,Los Angeles,86,36,103,4,0.317
Drew Waters,Kansas City,21,1,14,5,0.288
Austin Wells,New York,52,21,74,5,0.274
Jordan Westburg,Baltimore,59,17,41,1,0.313
Shay Whitcomb,Houston,4,1,1,0,0.125
Eli White,Atlanta,43,10,35,10,0.27
Joey Wiemer,Miami,7,3,12,0,0.279
Carson Williams,Tampa Bay,11,5,12,2,0.219
Luke Williams,Atlanta,5,0,5,5,0.176
Ben Williamson,Seattle,36,1,21,5,0.294
Jacob Wilson,Athletics,62,13,63,5,0.355
Weston Wilson,Philadelphia,15,5,17,2,0.282
Will Wilson,Cleveland,7,0,2,2,0.267
Jesse Winker,New York,8,1,10,1,0.309
Jack Winkler,Miami,2,0,0,1,0.25
Masyn Winn,St. Louis,72,9,51,9,0.31
Brett Wisely,"Atlanta,San Francisco",5,1,10,1,0.279
Bobby Witt Jr.,Kansas City,99,23,88,38,0.351
Connor Wong,Boston,16,0,7,2,0.262
James Wood,Washington,87,31,94,15,0.35
Gage Workman,Chicago,0,0,2,1,0.235
Austin Wynns,"Athletics,Cincinnati",13,6,21,0,0.321
Mike Yastrzemski,"Kansas City,San Francisco",68,17,46,7,0.333
Christian Yelich,Milwaukee,91,29,103,17,0.34
Nick Yorke,Pittsburgh,7,1,8,1,0.264
Masataka Yoshida,Boston,16,4,28,3,0.316
Cole Young,Seattle,24,4,24,1,0.302
Jacob Young,Washington,34,2,31,15,0.296
Jared Young,New York,5,4,6,0,0.234
