Name,Tm,R,HR,RBI,SB,OBP
Matt Chapman,San Francisco,76,21,61,9,0.34
Tsung-Che Cheng,Pittsburgh,0,0,0,0,0.0
Jazz Chisholm Jr.,New York,78,32,81,31,0.33
Jackson Chourio,Milwaukee,91,23,86,21,0.308
Nathan Church,St. Louis,9,1,8,1,0.254
Denzel Clarke,Athletics,18,3,8,6,0.274
Jonatan Clase,Toronto,10,2,9,3,0.288
Kody Clemens,"Minnesota,Philadelphia",46,19,52,5,0.281
Ernie Clement,Toronto,96,10,59,7,0.325
Zach Cole,Houston,9,4,11,3,0.327
Isaac Collins,Milwaukee,57,9,54,16,0.362
Michael Conforto,Los Angeles,54,12,36,1,0.305
Griffin Conine,Miami,13,2,8,0,0.314
William Contreras,Milwaukee,94,19,79,6,0.352
Willson Contreras,St. Louis,70,20,80,5,0.344
Billy Cook,Pittsburgh,1,0,0,0,0.333
Kenedy Corona,Houston,0,0,0,0,0.5
Carlos Correa,"Houston,Minnesota",63,13,52,0,0.332
Carlos Cortes,Athletics,11,4,14,0,0.323
Colton Cowser,Baltimore,36,16,40,14,0.269
J.P. Crawford,Seattle,72,13,62,8,0.346
Dylan Crews,Washington,43,10,27,17,0.28
Blaine Crim,"Colorado,Texas",10,5,12,0,0.27
Jake Cronenworth,San Diego,61,11,59,3,0.359
Jimmy Crooks,St. Louis,3,1,1,0,0.152
Pete Crow-Armstrong,Chicago,91,31,98,36,0.284
Oneil Cruz,Pittsburgh,62,20,61,38,0.298
Travis d\'Arnaud,Los Angeles,16,6,21,0,0.255
Bobby Dalbec,Chicago,2,0,1,0,0.333
Logan Davidson,"Athletics,Los Angeles",3,1,4,0,0.222
Henry Davis,Pittsburgh,25,7,22,2,0.234
J.D. Davis,Los Angeles,0,0,0,0,0.111
Bryan De La Cruz,Atlanta,1,0,0,1,0.24
Elly De La Cruz,Cincinnati,103,22,88,37,0.335
Justin Dean,Los Angeles,0,0,0,1,0.0
Paul DeJong,Washington,18,6,23,4,0.269
Adrian Del Castillo,Arizona,9,4,17,0,0.29
Chase DeLauter,Cleveland,0,0,0,0,0.286
Jonny DeLuca,Tampa Bay,5,0,4,6,0.356
Cam Devanney,Pittsburgh,1,0,1,0,0.184
Rafael Devers,"Boston,San Francisco",99,35,109,1,0.372
